Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150.0,192.4,4.0,4.0,121.0961887,14.7844513,3525000.0
"Alabang, Muntinlupa",House,"House,single-family-house",350.0,391.0,3.0,5.0,121.037608,14.4179774,55000000.0
"Alabang, Muntinlupa",House,"House,single-family-house",350.0,391.0,3.0,5.0,121.037608,14.4179774,55000000.0
"North Reclamation Area, Cebu",Condominium,"Condominium,studio",72.0,37.0,1.0,1.0,123.9157609,10.3084189,8468400.0
"McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",96.39999999999998,113.5,3.0,4.0,121.050318,14.540867,30600000.0
"Batasan Hills, Quezon City",Land,"Land,residential-lot",360.0,598.4,4.0,4.6,121.096563,14.681641,11000000.0
"Taywanak Ilaya, Alfonso",Land,"Land,memorial-lot",2.499999999999943,596.6,1.7999999999999998,1.7999999999999998,120.8501436,14.14474956,179200.0
"Barangay IV, Alfonso",Land,"Land,memorial-lot",2.499999999999943,596.6,1.7999999999999998,1.7999999999999998,120.85293,14.137115,145600.0
"Barangay IV, Alfonso",Land,"Land,memorial-lot",2.499999999999943,596.6,1.7999999999999998,1.7999999999999998,120.85293,14.137115,145600.0
"Mabolo, Cebu",Condominium,"Condominium,single-bedroom",26.80000000000001,65.0,1.0,1.0,123.918231,10.31581,15500000.0
"Quezon Avenue, Quezon City",Commercial,"Commercial,building",1215.5,735.0,6.199999999999999,8.500000000000002,121.0232,14.63518,110503536.64125
"Almanza Dos, Las Pinas",House,"House,single-family-house",467.0,414.0,3.0,5.0,121.0078767,14.4023926,65000000.0
"Calabnugan, Sibulan",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,123.261786,9.3420884,9000000.0
Sinacaban,House,"House,villas",416.39610042233693,237.32661867364746,3.0651442307692305,2.8692118226600987,123.8228346,8.3008627,1.0
"Dalig, Teresa",House,"House,single-family-house",90.0,43.359999999999985,2.0,1.0,121.214021,14.566756,3600000.0
"San Francisco, General Trias",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,120.918355,14.312446,102264000.0
"Buho, Silang",House,"House,single-family-house",105.0,83.0,4.0,3.0,120.959807,14.14031,6300000.0
